"","houseValue","income","houseAge","rooms","bedrooms","population","households","latitude","longitude"
"3084",96000,2.6288,23,3166,700,1097,493,35.75,-118.44
"3085",81200,NA,18,4754,1075,1366,NA,35.72,-118.47
"3086",NA,1.5957,NA,3303,814,986,522,35.7,-118.5
"3087",90000,1.4205,28,1491,NA,98,48,35.72,-118.59
"3088",94600,3.4792,33,1504,325,584,223,35.65,-118.87
"3089",59400,NA,17,2354,514,775,380,35.48,-118.23
"3090",72500,1.5667,NA,2966,669,1007,465,35.64,-118.33
"3091",96900,2.3125,15,5907,1257,2310,1001,35.63,-118.41
"3092",75800,1.4141,18,NA,527,782,390,35.62,-118.45
"3093",68500,1.3023,17,2248,535,927,427,35.64,-118.47
"3094",67300,1.6236,17,4002,930,1614,731,35.61,-118.48
"3095",69700,1.8819,16,5396,1182,1802,807,35.58,-118.45
"3096",78400,NA,13,2267,601,756,276,35.47,-118.61
"3097",55000,3.625,35,2916,594,1870,432,35.73,-117.73
"3098",42100,2.0441,33,2579,564,1155,431,35.63,-117.66
"3099",72000,2.8,18,2737,589,1128,533,35.65,-117.67
"3100",81900,3.3269,15,2701,576,1245,NA,35.65,-117.68
"3101",87500,4.0167,NA,1131,276,520,232,35.65,-117.69
"3102",NA,5.8625,8,2683,416,1154,399,35.64,-117.7
"3103",95700,5.2043,15,NA,573,1408,NA,35.64,-117.68
"3104",115700,6.1935,6,2115,342,927,337,35.64,-117.67
"3105",63500,3.0687,32,3661,787,1613,706,35.63,-117.67
"3106",105300,6.0653,18,4334,641,1777,661,35.63,-117.68
"3107",109000,5.5773,5,3151,482,1335,428,35.63,-117.69
"3108",71900,NA,18,2657,NA,1426,483,35.62,-117.7
"3109",84500,3.5988,9,4241,832,1929,742,35.61,-117.68
"3110",102800,6.0532,12,1678,241,765,281,35.6,-117.68
"3111",70200,3.858,16,2678,NA,1473,487,35.6,-117.7
"3112",52400,2.1458,30,2994,741,1481,581,35.62,-117.68
"3113",83200,4.25,10,2656,506,1349,501,35.61,-117.64
"3114",85700,NA,11,5897,1138,2728,1072,35.62,-117.66
"3115",87200,4.8494,NA,5735,NA,2623,862,35.61,-117.66
"3116",91700,2.5812,14,1740,391,850,317,35.6,-117.66
"3117",101300,3.9261,12,2014,372,1027,356,35.63,-117.76
"3118",142500,5.5551,9,3811,605,1518,568,35.55,-117.68
"3119",54300,1.8984,19,1124,NA,598,NA,35.65,-117.81
"3120",91800,4.1518,13,2566,449,1181,414,35.73,-117.87
"3121",98000,5.0762,11,1751,316,NA,296,35.54,-117.84
"3122",81700,3.1755,15,2357,484,1110,442,35.65,-117.74
"3123",50800,1.9962,28,1913,486,858,371,35.35,-117.84
"3124",NA,3.4015,21,1739,425,945,362,35.05,-118
"3125",71800,3.3693,30,2555,510,1347,467,35.03,-117.82
"3126",275000,NA,4,18,3,8,6,35.22,-117.76
"3127",NA,2.375,4,NA,2,6,2,35.21,-117.79
"3128",68500,3.3889,15,1926,361,NA,316,35.12,-118.01
"3129",81900,3.5391,5,4849,920,2504,847,35.13,-117.98
"3130",104400,4.25,NA,NA,502,1150,422,35.13,-117.95
"3131",141700,4.875,1,83,15,32,15,35.08,-117.95
"3132",84500,4.5724,4,923,166,352,135,35.1,-117.98
"3133",87800,2.875,15,2180,416,NA,370,35.16,-117.99
"3134",91700,2.9583,20,873,175,NA,159,34.92,-118.27
"3135",130000,2.8097,11,7353,1482,3571,1308,34.86,-118.34
"3136",54900,3.4338,28,2969,648,1644,570,35.03,-117.68
"3137",64400,4.2292,33,1589,307,853,272,34.99,-117.68
"3138",39800,1.9107,36,NA,316,672,NA,35,-117.65
"3139",83500,2.6149,10,4597,1009,2227,821,34.86,-118.15
"3140",87900,3.0184,9,1507,293,761,278,34.87,-118.17
"3141",111100,5.0553,2,2103,NA,923,338,34.87,-118.19
"3142",83300,2.7361,21,NA,540,1488,554,34.86,-118.17
"3143",73300,2.0441,15,1069,296,569,263,35.06,-118.15
"3144",68900,2.5875,44,1297,307,776,278,35.05,-118.16
"3145",83200,NA,14,2992,573,1631,526,35.05,-118.19
"3146",56800,2.16,29,1671,368,NA,NA,35.04,-118.15
"3147",NA,4.625,7,4371,727,1932,654,35.16,-118.51
"3148",162900,4.0581,7,9664,1692,3617,1370,35.2,-118.66
"3149",79000,2.3917,10,NA,605,1167,446,35.27,-118.34
"3150",115800,3.6949,4,8417,1657,4631,1468,35.14,-118.48
"3151",137200,NA,6,3660,646,1243,482,35.08,-118.61
"3152",120800,3.8917,11,4031,766,NA,564,34.99,-118.61
"3153",94900,2.6417,19,3109,640,1457,620,35.13,-118.46
"3154",85500,3.2405,16,4084,812,NA,NA,35.12,-118.46
"3155",99800,3.2632,8,NA,376,930,360,35.12,-118.43
"3156",NA,NA,34,1170,290,602,266,35.13,-118.44
"3157",67900,1.8636,21,1899,447,1133,391,35.13,-118.44
"3158",82200,2.7845,28,1793,358,1233,351,35.3,-118.91
"3159",94500,4,24,1341,214,667,NA,35.26,-118.95
"3160",NA,2.6302,33,1190,217,717,196,35.27,-118.83
"3161",NA,1.9236,29,1297,262,909,253,35.13,-118.92
"3162",68000,1.7656,26,1639,352,NA,395,35.23,-118.85
"3163",53900,1.9688,31,NA,NA,2302,NA,35.23,-118.82
"3164",NA,2.1357,17,1959,484,1763,453,35.2,-118.83
"3165",57300,2.1136,34,2185,NA,1910,455,35.2,-118.82
"3166",NA,1.9907,NA,2783,678,2566,641,35.2,-118.85
"3167",61400,2.0921,29,1401,317,1344,306,35.27,-118.91
"3168",54600,1.9066,31,6145,1492,5666,1457,35.26,-118.9
"3169",63700,2.0174,20,NA,924,3450,920,35.26,-118.92
"3170",45500,NA,29,2888,753,2949,699,35.24,-118.91
"3171",75000,2.2885,38,1016,202,540,187,36.41,-119.69
"3172",94200,NA,30,1860,337,1123,347,36.44,-119.57
"3173",126300,3.0375,26,1912,339,1002,311,36.37,-119.55
"3174",103100,3.3214,25,1688,302,879,277,36.38,-119.69
"3175",NA,3.1406,41,NA,149,443,146,36.37,-119.78
"3176",101400,2.7159,25,1549,269,819,272,36.37,-119.83
"3177",83900,2.9167,26,1414,265,NA,249,36.34,-119.87
"3178",106300,NA,25,8363,1636,7679,1580,36.32,-119.93
"3179",75800,3.0667,19,NA,614,1971,607,36.32,-119.79
"3180",92500,3.9926,14,3400,618,1867,612,36.32,-119.77
"3181",126400,3.1667,14,1287,291,737,269,36.31,-119.78
"3182",69100,2.6218,14,3677,863,2191,785,36.31,-119.77
"3183",72300,2.2937,25,4984,1029,2414,961,36.31,-119.79
"3184",62000,2.1038,24,NA,471,1052,439,36.3,-119.77
"3185",66600,2.1681,30,1846,391,1255,352,36.3,-119.78
"3186",93100,NA,16,1717,277,903,289,36.3,-119.79
"3187",104200,4.2917,6,1265,227,764,NA,36.29,-119.79
"3188",87500,2.0673,18,942,193,424,174,36.32,-119.82
"3189",112500,3.2386,16,1006,212,515,200,36.33,-119.78
"3190",100800,4.5714,NA,1871,315,1066,309,36.27,-119.78
"3191",107500,5.1728,7,479,84,327,NA,36.29,-119.8
"3192",56100,3.1071,24,544,112,442,106,36.28,-119.81
"3193",112500,NA,33,1287,NA,580,210,36.34,-119.72
"3194",52600,2.2721,40,1185,221,676,256,36.32,-119.72
"3195",43500,2.6477,40,1178,244,586,187,36.32,-119.7
"3196",60200,NA,20,2440,433,1579,400,36.31,-119.73
"3197",62000,2.2895,10,NA,201,693,220,36.3,-119.7
"3198",118800,4.9432,10,1090,164,470,158,36.35,-119.67
"3199",148000,NA,4,NA,783,1478,600,36.37,-119.65
"3200",107900,4.3911,21,1745,266,837,292,36.35,-119.65
"3201",85500,2.8788,38,3148,568,1378,537,36.35,-119.65
"3202",91900,3.1094,15,NA,374,NA,391,36.35,-119.66
"3203",97400,5.2134,13,2360,340,1055,312,36.36,-119.64
"3204",90400,NA,23,3182,563,1525,585,36.35,-119.64
"3205",90600,NA,NA,1684,NA,920,324,36.35,-119.63
"3206",80300,2.6145,10,3674,734,1864,NA,36.35,-119.62
"3207",70200,2.8125,30,1765,310,746,298,36.35,-119.64
"3208",71400,NA,26,1463,261,699,219,36.34,-119.63
"3209",67500,1.8385,14,NA,600,1633,559,36.33,-119.63
"3210",61500,3.0139,32,1492,284,926,264,36.33,-119.61
"3211",61000,2.2333,36,1518,287,749,255,36.32,-119.63
"3212",NA,2.6397,32,1338,276,859,286,36.34,-119.66
"3213",67200,1.8529,46,1730,337,752,323,36.34,-119.65
"3214",76100,3.0846,47,1869,357,832,315,36.34,-119.65
"3215",56700,1.8606,32,2958,670,1504,627,36.34,-119.64
"3216",51700,1.4524,41,3095,766,1852,721,36.33,-119.64
"3217",59100,2.3523,NA,1257,257,624,243,36.33,-119.65
"3218",53800,1.3882,47,1059,268,693,241,36.33,-119.65
"3219",120800,1.7596,26,592,121,268,116,36.32,-119.68
"3220",81700,2.9375,19,1241,244,850,237,36.33,-119.67
"3221",92800,4.0909,16,2048,373,1052,388,36.33,-119.66
"3222",58100,1.4194,10,NA,409,988,395,36.33,-119.66
"3223",56800,2.3256,24,2652,568,NA,445,36.32,-119.66
"3224",NA,2.5833,28,1325,276,NA,240,36.32,-119.68
"3225",60600,2.9936,12,2739,NA,1859,NA,36.31,-119.68
"3226",70500,3.3681,18,1147,202,717,212,36.3,-119.66
"3227",50400,1.5433,11,1294,314,713,290,36.32,-119.65
"3228",NA,1.3569,32,2205,523,1772,479,36.32,-119.64
"3229",53400,2.3466,NA,941,175,588,180,36.3,-119.65
"3230",50100,1.5909,27,1513,314,1071,284,36.31,-119.64
"3231",46300,NA,25,1847,371,1460,353,36.31,-119.61
"3232",97400,2.625,NA,2673,452,1394,449,36.27,-119.57
"3233",94100,2.395,35,NA,349,970,NA,36.25,-119.69
"3234",100000,2.4286,23,207,45,171,50,36.18,-119.63
"3235",50000,2.25,32,752,159,524,155,36.11,-119.59
"3236",53200,NA,6,2015,413,992,319,36.09,-119.57
"3237",46500,NA,21,1382,327,1469,355,36.1,-119.58
"3238",43800,1.5313,29,424,78,284,73,36.1,-119.56
"3239",50800,2.13,25,NA,262,893,NA,36.1,-119.56
"3240",64700,3.2847,35,1648,285,792,265,36.09,-119.56
"3241",52300,1.85,14,NA,290,1077,279,36.09,-119.56
"3242",42100,1.6607,37,766,189,639,NA,36.08,-119.56
"3243",61600,2.2169,21,2004,385,1397,NA,36.11,-119.58
"3244",54800,1.5727,16,1461,NA,1201,NA,36.1,-119.57
"3245",68800,3.5313,36,1729,317,737,278,36.1,-119.57
"3246",60700,2.0595,37,1676,NA,707,274,36.1,-119.57
"3247",61300,2.4688,21,1548,308,1137,NA,36.15,-119.74
"3248",137500,1.875,43,187,38,106,40,36.2,-119.9
"3249",52200,2.0221,33,1293,272,694,229,36.19,-119.82
"3250",100000,0.4999,23,333,92,198,55,36.09,-119.99
"3251",47700,2.0976,25,1047,270,1505,286,35.99,-119.96
"3252",225000,3.05,NA,156,39,171,37,36.02,-119.8
"3253",60900,2.9708,27,2533,518,1371,461,36.04,-120.14
"3254",48500,NA,18,1165,334,1119,308,36.01,-120.12
"3255",43900,2.0335,33,1726,NA,1371,388,36,-120.14
"3256",56200,2.25,7,2049,482,NA,NA,35.99,-120.12
"3257",71300,2.375,26,48,8,13,8,35.87,-120.13
"3258",62500,3.125,16,259,53,131,38,35.91,-120
"3259",73500,0.4999,NA,411,NA,26,19,39.42,-122.89
"3260",98900,3.9519,39,1295,240,534,NA,39.23,-122.9
"3261",72500,NA,43,89,18,86,27,39.18,-122.91
"3262",68300,4.35,44,202,42,142,39,39.17,-122.91
"3263",73600,2.575,45,1314,277,649,232,39.17,-122.9
"3264",NA,2.2188,20,1125,231,521,196,39.14,-122.88
"3265",92600,3.8333,24,1098,193,353,145,39.12,-123.07
"3266",137500,3.25,17,380,69,225,72,39.13,-122.95
"3267",71100,2.2551,10,1588,333,585,254,39.11,-122.89
"3268",143200,1.9141,15,2483,544,NA,380,39.09,-122.9
"3269",166300,4,NA,341,64,146,57,39.08,-122.92
"3270",140600,2.8906,18,681,120,272,105,39.1,-122.94
"3271",164100,NA,14,1582,301,851,273,39.02,-122.99
"3272",102300,2.4423,21,2202,484,1000,381,39.07,-122.91
"3273",100300,1.939,21,1236,238,601,261,39.06,-122.91
"3274",119000,3.5652,16,1548,295,605,250,39.05,-122.92
"3275",93500,3.2216,20,1128,NA,621,NA,39.05,-122.91
"3276",80700,2.5457,38,3131,624,1591,568,39.05,-122.92
"3277",95000,3.7667,27,789,208,295,108,39.05,-122.91
"3278",95800,1.3532,14,2374,NA,723,427,39.03,-122.91
"3279",108300,3.3929,13,532,111,214,62,39.14,-122.7
"3280",86500,NA,15,1927,427,NA,321,39.13,-122.87
"3281",78800,2.0417,24,3127,674,1015,448,39.08,-122.86
"3282",94700,1.4679,26,2191,NA,NA,371,39.09,-122.83
"3283",66800,1.625,20,1798,395,NA,331,39.09,-122.79
"3284",65000,1.4676,17,1880,467,798,342,39.08,-122.8
"3285",89000,1.5208,23,952,200,321,128,39.08,-122.79
"3286",108900,2.6181,15,1601,323,661,269,39.05,-122.78
"3287",69700,1.3,11,1264,271,370,177,39.09,-122.53
"3288",112500,2.7639,9,254,50,66,29,39.04,-122.69
"3289",111500,1.9833,23,1618,395,425,244,39.04,-122.73
"3290",72400,2.1094,27,2199,527,744,316,39.02,-122.69
"3291",53300,1.165,27,1446,NA,594,255,39.03,-122.66
"3292",109400,1.7446,16,3715,810,943,NA,39.02,-122.66
"3293",162500,2.3125,18,793,148,186,59,39,-122.7
"3294",134700,2.3558,18,1177,224,181,105,38.99,-122.7
"3295",75900,1.8571,16,4279,951,1596,666,38.99,-122.65
"3296",77800,1.6607,NA,975,219,337,155,38.99,-122.52
"3297",109700,2.1838,27,2300,508,526,254,38.98,-122.68
"3298",NA,1.1912,32,1856,472,703,292,38.97,-122.65
"3299",64000,1.75,17,1708,459,633,312,38.96,-122.63
"3300",58800,1.6865,19,2230,538,832,359,38.95,-122.62
"3301",57500,2.3179,14,1731,400,638,282,38.94,-122.62
"3302",71300,4.3897,14,231,36,108,31,38.93,-122.61
"3303",NA,1.4767,16,1657,390,572,301,38.93,-122.6
"3304",69000,2.0577,16,1914,446,828,332,38.96,-122.62
"3305",60200,NA,20,2507,577,1072,457,38.96,-122.63
"3306",63200,1.6769,27,2143,580,898,367,38.96,-122.65
"3307",NA,1.7273,29,883,187,326,136,38.96,-122.64
"3308",68900,1.2029,28,1503,370,522,268,38.95,-122.64
"3309",77300,1.7083,11,NA,127,246,86,38.95,-122.63
"3310",49000,1.7566,25,661,144,NA,93,38.94,-122.63
"3311",81800,1.125,18,3844,969,1832,845,38.94,-122.63
"3312",55000,1.5455,13,524,129,215,90,38.94,-122.62
"3313",114200,3.2375,17,2554,540,723,319,38.97,-122.7
"3314",200500,3.4187,17,NA,NA,889,414,39.01,-122.75
"3315",96900,1.8833,23,642,203,265,84,39.02,-122.79
"3316",97300,NA,11,5175,NA,NA,792,38.97,-122.78
"3317",93400,3.125,9,NA,234,517,187,38.94,-122.69
"3318",55000,1.375,20,41,18,94,10,38.91,-122.71
"3319",136800,2.5326,20,1592,NA,647,NA,39.05,-122.86
"3320",88500,1.8704,20,1580,318,NA,252,39,-122.85
"3321",113900,1.6833,15,289,49,191,54,38.99,-122.83
"3322",77800,1.6164,NA,1383,347,719,296,38.98,-122.83
"3323",NA,1.7196,21,939,176,556,178,38.98,-122.84
"3324",134200,2.9934,20,2067,384,904,333,38.97,-122.92
"3325",105700,2.7188,20,NA,247,NA,223,38.93,-122.89
"3326",93800,1.8692,15,1318,296,567,276,38.96,-122.83
"3327",119400,4.0119,26,712,140,293,NA,38.92,-122.77
"3328",100000,3.4514,11,640,134,268,90,38.89,-122.83
"3329",96600,1.9906,NA,2781,617,890,310,38.88,-122.72
"3330",90800,3.3531,12,4515,909,1554,NA,38.83,-122.74
"3331",NA,2.1964,NA,304,63,161,61,38.9,-122.48
"3332",75000,NA,15,1410,329,599,273,38.92,-122.59
"3333",91700,2.9583,23,292,56,92,41,38.9,-122.6
"3334",84700,1.8417,NA,520,115,249,109,38.92,-122.62
"3335",NA,4.125,30,70,38,20,NA,38.92,-122.65
"3336",73500,1.5739,16,1177,240,519,199,38.87,-122.64
"3337",109200,2.5625,12,2394,443,877,341,38.82,-122.5
"3338",132600,4.0435,9,2589,482,1050,374,38.76,-122.51
"3339",132100,3.8831,7,3639,637,1027,NA,38.81,-122.55
"3340",103100,3.375,15,764,145,366,NA,38.78,-122.59
"3341",83300,3.4375,22,852,176,461,142,38.81,-122.66
"3342",67900,2.3125,29,994,226,302,117,38.76,-122.68
"3343",85300,2.1474,21,1425,323,727,287,38.73,-122.62
"3344",89600,2.625,20,531,126,231,96,38.71,-122.64
"3345",87500,0.536,26,102,17,43,13,38.7,-122.52
"3346",48100,2.7188,26,NA,308,761,NA,41.07,-121.11
"3347",59200,NA,29,779,136,NA,123,41.12,-120.96
"3348",80800,3.6641,17,976,202,NA,175,40.85,-121.07
"3349",NA,1.6833,27,777,185,318,115,40.98,-120.38
"3350",NA,NA,33,240,49,63,22,40.63,-120.35
"3351",118300,1.7214,11,2635,667,280,132,40.65,-120.77
"3352",78300,3.3036,17,NA,167,406,154,40.51,-121.02
"3353",64100,2.5,19,683,139,302,111,40.28,-120.96
"3354",49500,2.1833,52,5486,1044,1977,754,40.35,-121.03
"3355",85900,3.5962,15,5343,NA,2503,NA,40.5,-120.67
"3356",NA,2.6902,15,NA,461,1121,402,40.43,-120.57
"3357",66400,NA,35,1450,325,717,297,40.42,-120.66
"3358",64300,2.1875,39,3240,652,1467,621,40.42,-120.65
"3359",70200,2.2992,52,2081,NA,1051,419,40.41,-120.66
"3360",59300,1.5066,50,1741,424,987,383,40.41,-120.64
"3361",105700,3.5536,19,4462,828,2229,777,40.36,-120.71
"3362",61800,2.2661,16,3412,667,1873,590,40.37,-120.58
"3363",85600,2.4757,26,1652,313,NA,280,40.38,-120.42
"3364",70000,1.7333,19,NA,NA,355,127,40.45,-120.36
"3365",67500,5.5179,36,36,NA,4198,7,40.41,-120.51
"3366",91000,3.4028,17,3391,NA,1529,571,40.29,-120.54
"3367",85100,NA,16,1821,360,969,359,40.31,-120.49
"3368",73500,2.1198,21,789,141,406,146,40.17,-120.37
"3369",47600,2.6765,26,2399,518,1037,443,40.26,-120.2
"3370",60700,1.7267,19,NA,518,1028,383,39.92,-120.09
"3371",276100,6.1946,27,5205,859,2363,888,34.27,-118.27
"3372",213000,4.9833,32,1079,207,486,167,34.26,-118.28
"3373",191100,4.008,33,3177,713,NA,612,34.26,-118.29
"3374",184500,3.5568,37,2824,633,1619,573,34.26,-118.3
"3375",NA,4.81,42,2186,423,1145,439,34.26,-118.3
"3376",197600,3.5214,35,2045,450,1166,407,34.25,-118.28
"3377",NA,2.6036,29,2559,787,1886,769,34.25,-118.28
"3378",175000,2.4727,19,1988,594,1399,527,34.25,-118.29
"3379",161500,3.0795,8,5568,1514,3565,NA,34.25,-118.29
"3380",257600,5.0234,37,2489,454,1215,431,34.25,-118.27
"3381",261900,4.4485,35,2091,360,879,326,34.25,-118.27
"3382",277600,6.3688,30,2180,369,1050,390,34.24,-118.27
"3383",230100,4.6635,35,779,NA,371,150,34.25,-118.27
"3384",195800,4.4375,NA,699,150,358,143,34.25,-118.27
"3385",263600,4.45,32,2542,526,1278,493,34.24,-118.28
"3386",316900,5.6184,29,3390,580,NA,576,34.24,-118.28
"3387",176700,3.1523,36,1300,304,688,NA,34.25,-118.3
"3388",293300,4.2639,31,6434,1188,3540,1131,34.24,-118.33
"3389",228700,5.997,19,9259,1653,3963,1595,34.22,-118.35
"3390",258300,4.1302,30,1260,222,638,229,34.22,-118.35
"3391",181400,3.275,39,1470,312,1047,284,34.21,-118.35
"3392",172600,NA,42,1073,NA,804,226,34.21,-118.35
"3393",219900,5.1145,NA,3258,610,1810,633,34.28,-118.31
"3394",215600,6.0808,35,1446,274,759,291,34.27,-118.31
"3395",176500,3.599,43,NA,310,809,277,34.26,-118.3
"3396",185900,4.1964,40,1065,214,605,183,34.26,-118.3
"3397",189600,4.2685,38,2264,460,1124,388,34.26,-118.31
"3398",160300,3.0583,41,1297,327,733,NA,34.26,-118.31
"3399",187300,4.1339,34,1797,363,NA,NA,34.26,-118.31
"3400",222700,4.4875,32,3690,791,1804,NA,34.26,-118.32
"3401",248200,4.6944,30,3214,513,1700,533,34.28,-118.35
"3402",230200,3.1349,29,NA,732,NA,702,34.27,-118.33
"3403",205400,6.2037,32,604,108,314,113,34.27,-118.35
"3404",314900,NA,37,1776,301,702,265,34.26,-118.34
"3405",354400,6.1464,34,2795,460,1267,443,34.25,-118.35
"3406",378000,6.838,34,3677,573,1598,568,34.26,-118.36
"3407",NA,3.1607,28,NA,489,1142,458,34.26,-118.3
"3408",197300,4.5833,NA,1442,285,859,292,34.25,-118.3
"3409",239400,5.76,37,1444,246,NA,239,34.26,-118.31
"3410",217100,3.8,36,1882,453,1005,409,34.26,-118.31
"3411",191500,NA,24,5106,1010,2310,957,34.26,-118.32
"3412",166200,4.4818,24,4694,820,3566,777,34.28,-118.39
"3413",166300,4.7932,22,4428,NA,3152,836,34.28,-118.38
"3414",154900,3.3304,16,6573,1480,6161,1473,34.28,-118.4
"3415",158300,2.8214,8,3248,847,2608,731,34.27,-118.38
"3416",147600,3.35,35,1008,204,1162,215,34.29,-118.41
"3417",145800,4.2969,32,1591,NA,1818,306,34.29,-118.41
"3418",150000,4.125,29,1271,272,1338,266,34.28,-118.42
"3419",146700,3.7566,32,2574,531,2609,472,34.28,-118.41
"3420",164800,2.6652,22,3517,NA,3134,847,34.28,-118.4
"3421",133300,3.2865,35,822,200,1197,203,34.28,-118.42
"3422",144300,2.8,34,1999,427,2391,439,34.28,-118.42
"3423",134300,1.6295,33,1209,341,NA,NA,34.27,-118.42
"3424",131300,3.3214,33,937,216,1216,212,34.27,-118.42
"3425",147800,2.6667,35,NA,153,808,173,34.27,-118.42
"3426",NA,3.0132,30,1384,308,2054,301,34.28,-118.43
"3427",156800,4.2353,31,1130,276,1533,269,34.27,-118.43
"3428",148000,3.024,36,1002,250,1312,249,34.27,-118.43
"3429",147500,3.225,37,1024,246,1371,239,34.27,-118.42
"3430",140900,3.5104,30,1246,373,1990,369,34.26,-118.43
"3431",147200,3.2583,37,1269,NA,1835,335,34.26,-118.43
"3432",139600,3.4,35,777,187,1022,186,34.27,-118.44
"3433",140900,2.9519,43,729,172,935,174,34.26,-118.43
"3434",148100,NA,37,1545,341,1909,352,34.25,-118.42
"3435",143100,2.9205,35,1447,335,1630,306,34.25,-118.43
"3436",136400,2.1062,26,1788,NA,2582,484,34.26,-118.42
"3437",136100,2.5313,38,870,205,1065,222,34.26,-118.41
"3438",143300,3.4519,36,973,221,1086,218,34.26,-118.42
"3439",138600,3.9,37,1789,424,2279,NA,34.26,-118.42
"3440",137900,2.9219,38,858,203,1250,204,34.27,-118.41
"3441",124000,NA,35,2700,702,3444,679,34.27,-118.42
"3442",154300,4.2538,13,4379,872,2560,853,34.26,-118.4
"3443",134200,2.2019,NA,1872,497,1927,432,34.25,-118.4
"3444",NA,1.95,19,280,84,483,87,34.25,-118.41
"3445",143100,2.6429,33,827,192,981,184,34.25,-118.41
"3446",153800,3.6016,36,1146,259,1173,NA,34.25,-118.41
"3447",157100,NA,18,3447,857,3663,817,34.25,-118.41
"3448",NA,2.525,17,2049,548,2243,541,34.24,-118.42
"3449",145200,3.6292,36,NA,331,1502,312,34.25,-118.42
"3450",157400,4.233,34,2657,515,1948,NA,34.32,-118.43
"3451",235600,5.901,18,5891,920,2882,911,34.33,-118.43
"3452",211600,4.1724,14,6235,1286,3568,1190,34.32,-118.44
"3453",163200,3.9583,NA,6755,1443,4205,1395,34.31,-118.42
"3454",180300,3.6548,29,3334,712,2919,718,34.3,-118.42
"3455",203400,5.2987,18,6572,1105,3473,1067,34.32,-118.41
"3456",187400,5.1668,28,3187,569,2205,559,34.3,-118.41
"3457",156000,4.3409,30,3027,604,1970,590,34.32,-118.42
"3458",154300,4.0301,14,4151,941,3163,NA,34.31,-118.44
"3459",160100,2.7472,22,3182,822,2661,746,34.31,-118.44
"3460",155500,3.4,38,1595,314,1181,327,34.3,-118.44
"3461",182500,4.0556,9,1739,358,820,323,34.31,-118.45
"3462",189400,4.26,23,3481,641,NA,682,34.32,-118.45
"3463",194100,4.1514,10,NA,NA,2917,1056,34.32,-118.46
"3464",173100,4.4773,NA,1532,287,977,275,34.31,-118.45
"3465",158500,4.0337,NA,NA,476,2291,419,34.3,-118.46
"3466",218200,4.2708,24,NA,601,1460,598,34.31,-118.46
"3467",NA,4.8988,13,2664,518,1468,NA,34.32,-118.47
"3468",270100,6.0891,NA,2384,395,1697,402,34.33,-118.48
"3469",172400,3,31,1091,256,892,238,34.31,-118.48
"3470",192200,3.6736,16,2495,551,NA,567,34.3,-118.47
"3471",183300,3.0526,24,3668,890,3151,810,34.29,-118.46
"3472",190000,4.2935,18,4256,987,3401,955,34.29,-118.47
"3473",431800,9.2873,26,4516,611,1714,581,34.29,-118.49
"3474",319400,6.8695,27,2535,NA,1071,NA,34.28,-118.49
"3475",285500,6.6458,31,3508,585,1957,588,34.28,-118.49
"3476",NA,7.0598,25,1024,145,357,147,34.31,-118.49
"3477",374000,8.1248,18,7498,976,3189,955,34.32,-118.52
"3478",344000,NA,NA,6145,868,2710,875,34.3,-118.51
"3479",301700,6.3911,29,4239,653,1890,631,34.28,-118.51
"3480",319300,NA,29,1287,194,525,187,34.29,-118.51
"3481",474600,7.7464,28,2272,NA,868,312,34.29,-118.52
"3482",450700,8.8467,NA,4542,621,2144,597,34.3,-118.52
"3483",152100,4.3047,27,2676,652,2661,623,34.3,-118.45
"3484",160200,3.4812,NA,4085,919,3988,906,34.3,-118.45
"3485",377200,6.7248,18,5481,780,2477,764,34.28,-118.54
"3486",NA,8.1125,16,8879,1239,3468,1200,34.28,-118.55
"3487",500001,10.8805,NA,7665,999,3517,998,34.28,-118.54
"3488",376200,8.2159,22,4423,NA,1995,NA,34.3,-118.54
"3489",341200,7.0808,4,6995,1151,NA,1089,34.29,-118.57
"3490",152000,3.5714,38,1527,332,1303,NA,34.28,-118.45
"3491",217600,5.5931,23,1663,302,1242,283,34.28,-118.46
"3492",222900,5.1408,33,1549,264,881,289,34.27,-118.47
"3493",227100,5.3107,35,2132,368,NA,341,34.28,-118.48
"3494",226700,NA,35,1511,274,873,NA,34.28,-118.48
"3495",192400,2.7353,17,1444,282,523,270,34.27,-118.47
"3496",220600,NA,35,1150,185,741,178,34.27,-118.47
"3497",223700,4.9323,34,1231,NA,702,222,34.27,-118.48
"3498",216800,4.9955,NA,NA,449,1303,437,34.27,-118.48
"3499",185800,3.705,33,1194,229,839,230,34.27,-118.45
"3500",195900,5.1296,35,1579,NA,1012,265,34.27,-118.45
"3501",179700,4.8015,30,1576,282,1004,NA,34.27,-118.46
"3502",NA,2.6193,28,1865,NA,NA,440,34.27,-118.46
"3503",158100,3.5347,36,1111,275,1333,NA,34.27,-118.44
"3504",142400,3.3603,29,1701,419,NA,371,34.27,-118.44
"3505",195600,4.8359,35,1724,311,992,315,34.26,-118.45
"3506",NA,4.3839,36,NA,NA,808,275,34.25,-118.45
"3507",209600,4.175,35,1637,300,894,302,34.26,-118.45
"3508",210300,5.0947,33,1358,247,738,235,34.26,-118.46
"3509",217100,4.9485,36,1394,254,NA,262,34.26,-118.46
"3510",224200,4.2143,NA,2202,433,1135,407,34.25,-118.46
"3511",208600,3.6989,32,2217,422,NA,427,34.25,-118.46
"3512",199200,3.8875,NA,1300,289,650,291,34.26,-118.47
"3513",218400,5.5792,NA,1898,344,1123,347,34.26,-118.47
"3514",238000,5.749,36,1770,296,938,304,34.26,-118.48
